gid,gisjoin,total_pop,native_pop,forgn_pop,forgn_pct,res_tickets
289,G17003103602001,1616,1302,314,0.19431,54
1819,G17003101002004,868,789,79,0.09101,13
804,G17003101613004,1361,965,396,0.29096,3
232,G17003106004003,1947,1160,787,0.40421,3
692,G17003100314002,832,772,60,0.07212,6
739,G17003101508003,1248,788,460,0.36859,15
803,G17003101613003,719,470,249,0.34631,4
1091,G17003100402023,1305,465,840,0.64368,129
1633,G17003100804003,1494,1177,317,0.21218,17
1934,G17003104402014,1503,1503,0,0,24
1018,G17003103902001,999,923,76,0.07608,13
68,G17003103109003,1833,1001,832,0.4539,2
535,G17003100306012,1035,604,431,0.41643,57
1233,G17003100803004,1308,1110,198,0.15138,12
1952,G17003104301014,1358,1358,0,0,9
2274,G17003108349001,836,831,5,0.00598,8
928,G17003104106001,1423,1304,119,0.08363,24
1812,G17003102106023,1757,1259,498,0.28344,11
1629,G17003108355001,683,677,6,0.00878,1
1733,G17003101606021,1310,1044,266,0.20305,14
2174,G17003100401003,1023,940,83,0.08113,20
202,G17003104309001,922,892,30,0.03254,30
865,G17003101710005,1336,962,374,0.27994,10
987,G17003104302002,576,545,31,0.05382,1
2102,G17003106903001,616,612,4,0.00649,5
2069,G17003100101001,421,421,0,0,13
1432,G17003104403002,1531,1528,3,0.00196,33
1721,G17003101511002,1383,711,672,0.4859,11
1595,G17003108404001,1318,919,399,0.30273,3
318,G17003102819001,1220,1040,180,0.14754,2
312,G17003102518001,1260,1260,0,0,4
2034,G17003102430001,688,566,122,0.17733,1
470,G17003102430002,1710,1251,459,0.26842,3
876,G17003108306001,965,723,242,0.25078,95
1213,G17003107114002,649,644,5,0.0077,1
1564,G17003108407003,1939,1046,893,0.46055,2
1415,G17003102207022,810,641,169,0.20864,6
1301,G17003105702001,1878,1116,762,0.40575,12
175,G17003104304004,1124,1110,14,0.01246,1
1418,G17003108367002,1173,1024,149,0.12702,9
99,G17003104204001,1216,1037,179,0.1472,2
1005,G17003100314005,1161,1008,153,0.13178,14
1884,G17003101401001,1935,978,957,0.49457,189
699,G17003100402012,1580,952,628,0.39747,84
94,G17003108412003,2161,1231,930,0.43036,1
1951,G17003104301013,810,810,0,0,17
362,G17003104603012,660,553,107,0.16212,19
1762,G17003101801003,1398,679,719,0.51431,1
1322,G17003101406022,2093,1250,843,0.40277,5
1588,G17003105302005,968,968,0,0,3
2260,G17003100622001,1593,1546,47,0.0295,32
1271,G17003103018022,1081,710,371,0.3432,2
514,G17003100104003,2240,1938,302,0.13482,275
1995,G17003103011002,1872,1026,846,0.45192,1
1040,G17003102516002,789,789,0,0,3
1244,G17003100803001,584,571,13,0.02226,2
1426,G17003103009001,1466,798,668,0.45566,1
1511,G17003108333001,2442,2007,435,0.17813,1
1130,G17003101503004,847,705,142,0.16765,45
988,G17003102506004,1347,1347,0,0,4
670,G17003100311001,1944,1778,166,0.08539,23
560,G17003108438002,978,876,102,0.10429,32
2299,G17003107104001,909,909,0,0,3
1868,G17003101201004,1055,926,129,0.12227,1
697,G17003100402024,1677,1125,552,0.32916,152
1761,G17003101801002,746,376,370,0.49598,1
1433,G17003106913002,1495,1389,106,0.0709,1
1979,G17003108355002,910,826,84,0.09231,2
1190,G17003100621002,1102,1083,19,0.01724,1
1339,G17003103012003,1862,1136,726,0.3899,2
2177,G17003108308001,809,725,84,0.10383,5
811,G17003101912001,2916,1691,1225,0.4201,4
417,G17003108076003,927,334,593,0.6397,9
605,G17003108321003,859,805,54,0.06286,5
710,G17003101003006,1203,1031,172,0.14298,2
1240,G17003100714003,1219,957,262,0.21493,1
2035,G17003102431001,2062,1264,798,0.387,7
2291,G17003106720002,703,703,0,0,2
1438,G17003107302012,890,888,2,0.00225,6
639,G17003100208022,2285,640,1645,0.71991,210
187,G17003105806003,1236,602,634,0.51294,1
1367,G17003108326002,992,959,33,0.03327,3
1770,G17003101903002,1569,937,632,0.4028,4
1623,G17003105807002,4033,2354,1679,0.41632,1
2303,G17003100716001,1715,1507,208,0.12128,2
1504,G17003108351002,1149,558,591,0.51436,10
2013,G17003106709002,990,990,0,0,2
126,G17003103008002,2689,1126,1563,0.58126,2
511,G17003108340002,893,893,0,0,3
1313,G17003107505003,2128,2128,0,0,6
968,G17003108318003,1493,1039,454,0.30409,99
2085,G17003100303001,1450,798,652,0.44966,451
378,G17003102512003,617,617,0,0,14
2282,G17003107505001,1567,1451,116,0.07403,2
1880,G17003101301001,958,557,401,0.41858,35
742,G17003101601002,1068,700,368,0.34457,2
1176,G17003100404013,663,475,188,0.28356,1
788,G17003100601003,772,653,119,0.15415,1
1423,G17003100307061,2157,1558,599,0.2777,10
1032,G17003106201002,1768,1048,720,0.40724,8
1004,G17003108439005,652,617,35,0.05368,32
2161,G17003106909005,1068,1038,30,0.02809,5
477,G17003108340001,2723,2674,49,0.01799,2
1905,G17003101504011,1496,795,701,0.46858,22
1165,G17003103802002,1558,1526,32,0.02054,5
1441,G17003107005016,826,795,31,0.03753,4
1813,G17003102106013,1435,824,611,0.42578,3
1098,G17003106501002,1272,802,470,0.3695,1
591,G17003105808001,1661,856,805,0.48465,1
2278,G17003107005012,1306,1273,33,0.02527,7
2018,G17003106715003,1007,984,23,0.02284,5
521,G17003100306031,1038,354,684,0.65896,28
715,G17003104313021,1091,965,126,0.11549,4
481,G17003100103003,1316,1086,230,0.17477,31
1823,G17003101003001,850,744,106,0.12471,3
134,G17003108344003,1516,1484,32,0.02111,20
1234,G17003107003013,1907,1542,365,0.1914,20
2204,G17003107402002,952,897,55,0.05777,1
1891,G17003101404004,1254,738,516,0.41148,6
1347,G17003103406001,1066,1052,14,0.01313,1
794,G17003101203001,1016,654,362,0.3563,5
2010,G17003106609003,1416,1213,203,0.14336,11
1535,G17003100404014,990,866,124,0.12525,3
2065,G17003106812001,458,458,0,0,1
932,G17003102415001,1470,1359,111,0.07551,2
84,G17003105611002,1052,874,178,0.1692,1
1634,G17003100810002,1157,906,251,0.21694,2
74,G17003104112001,1241,941,300,0.24174,2
509,G17003108339001,1190,1000,190,0.15966,4
6,G17003103102001,831,612,219,0.26354,1
2139,G17003108307004,872,603,269,0.30849,75
488,G17003100105011,1098,993,105,0.09563,14
41,G17003105609006,525,501,24,0.04571,2
516,G17003108306004,1073,577,496,0.46226,78
713,G17003101007002,750,503,247,0.32933,4
580,G17003106115001,1185,417,768,0.6481,3
769,G17003101604003,1088,706,382,0.3511,49
840,G17003102312001,986,820,166,0.16836,5
720,G17003106909003,944,944,0,0,7
247,G17003104403001,1044,1044,0,0,3
1654,G17003107709022,1682,1098,584,0.34721,4
